scenario,trace_id,operation,decision,metric,value_ms
interactive_valid_flow,tr_f7543e3bf35c4126,verify_cod,accepted,cod_validation,0.207
interactive_valid_flow,tr_f7543e3bf35c4126,verify_cod,accepted,capability_realization,0.0722
interactive_valid_flow,tr_f7543e3bf35c4126,verify_cod,accepted,ledger_anchor,4.2526
interactive_valid_flow,tr_c33236c4631648e5,delegate_to_domain,accepted,signature_generation,0.095
interactive_valid_flow,tr_c33236c4631648e5,delegate_to_domain,accepted,ledger_anchor,3.0557
interactive_valid_flow,tr_d869be372117450b,issue_delegation,accepted,signature_generation,0.0706
interactive_valid_flow,tr_d869be372117450b,issue_delegation,accepted,ledger_anchor,2.7584
interactive_valid_flow,tr_f23b8fc84ac748c2,issue_downstream_delegation,accepted,incoming_cod_validation,0.1773
interactive_valid_flow,tr_f23b8fc84ac748c2,issue_downstream_delegation,accepted,signature_generation,0.1105
interactive_valid_flow,tr_f23b8fc84ac748c2,issue_downstream_delegation,accepted,ledger_anchor,2.4852
interactive_valid_flow,tr_f0b772447b0b411c,delegate_to_domain,accepted,signature_generation,0.0786
interactive_valid_flow,tr_f0b772447b0b411c,delegate_to_domain,accepted,ledger_anchor,3.1908
interactive_valid_flow,tr_e4f2945c9c774928,issue_downstream_delegation,accepted,incoming_cod_validation,0.1694
interactive_valid_flow,tr_e4f2945c9c774928,issue_downstream_delegation,accepted,signature_generation,0.0542
interactive_valid_flow,tr_e4f2945c9c774928,issue_downstream_delegation,accepted,ledger_anchor,3.179
interactive_valid_flow,tr_911f2ac3003345df,delegate_to_domain,accepted,signature_generation,0.0862
interactive_valid_flow,tr_911f2ac3003345df,delegate_to_domain,accepted,ledger_anchor,2.6968
interactive_valid_flow,tr_38c33fdeb147448a,verify_cod,accepted,cod_validation,0.1912
interactive_valid_flow,tr_38c33fdeb147448a,verify_cod,accepted,capability_realization,0.4108
interactive_valid_flow,tr_38c33fdeb147448a,verify_cod,accepted,ledger_anchor,3.4777
interactive_valid_flow,tr_15c449cea51e4745,issue_delegation,accepted,signature_generation,0.066
interactive_valid_flow,tr_15c449cea51e4745,issue_delegation,accepted,ledger_anchor,3.7777
interactive_valid_flow,tr_6706a0dc02a249ce,issue_downstream_delegation,accepted,incoming_cod_validation,0.4815
interactive_valid_flow,tr_6706a0dc02a249ce,issue_downstream_delegation,accepted,signature_generation,0.0438
interactive_valid_flow,tr_6706a0dc02a249ce,issue_downstream_delegation,accepted,ledger_anchor,3.0309
interactive_valid_flow,tr_a950dc805b904f44,issue_delegation,accepted,signature_generation,0.1822
interactive_valid_flow,tr_a950dc805b904f44,issue_delegation,accepted,ledger_anchor,3.8159
interactive_valid_flow,tr_8ebad21256314dfc,issue_delegation,accepted,signature_generation,0.0719
interactive_valid_flow,tr_8ebad21256314dfc,issue_delegation,accepted,ledger_anchor,3.8859
interactive_valid_flow,tr_0caa21a400964ebf,verify_cod,accepted,cod_validation,0.1985
interactive_valid_flow,tr_0caa21a400964ebf,verify_cod,accepted,capability_realization,0.0841
interactive_valid_flow,tr_0caa21a400964ebf,verify_cod,accepted,ledger_anchor,4.6768
interactive_valid_flow,tr_81e9c9212c904af2,issue_downstream_delegation,accepted,incoming_cod_validation,0.2007
interactive_valid_flow,tr_81e9c9212c904af2,issue_downstream_delegation,accepted,signature_generation,0.0532
interactive_valid_flow,tr_81e9c9212c904af2,issue_downstream_delegation,accepted,ledger_anchor,3.0572
interactive_valid_flow,tr_b6b1919e5b1141ef,verify_cod,accepted,cod_validation,0.1966
interactive_valid_flow,tr_b6b1919e5b1141ef,verify_cod,accepted,capability_realization,0.0736
interactive_valid_flow,tr_b6b1919e5b1141ef,verify_cod,accepted,ledger_anchor,4.8827
interactive_valid_flow,tr_30948521fd8d4d2a,delegate_to_domain,accepted,signature_generation,0.0783
interactive_valid_flow,tr_30948521fd8d4d2a,delegate_to_domain,accepted,ledger_anchor,2.8504
interactive_valid_flow,tr_dec0c64242ef40ef,delegate_to_domain,accepted,signature_generation,0.0694
interactive_valid_flow,tr_dec0c64242ef40ef,delegate_to_domain,accepted,ledger_anchor,1.7202
interactive_valid_flow,tr_5c7298f866e4413f,verify_cod,accepted,cod_validation,0.5765
interactive_valid_flow,tr_5c7298f866e4413f,verify_cod,accepted,capability_realization,0.0966
interactive_valid_flow,tr_5c7298f866e4413f,verify_cod,accepted,ledger_anchor,2.7528
interactive_valid_flow,tr_d3e79ccc66b0439e,delegate_to_domain,accepted,signature_generation,0.0797
interactive_valid_flow,tr_d3e79ccc66b0439e,delegate_to_domain,accepted,ledger_anchor,2.0648
interactive_valid_flow,tr_18152e16e3e449c1,issue_downstream_delegation,accepted,incoming_cod_validation,0.1573
interactive_valid_flow,tr_18152e16e3e449c1,issue_downstream_delegation,accepted,signature_generation,0.0497
interactive_valid_flow,tr_18152e16e3e449c1,issue_downstream_delegation,accepted,ledger_anchor,1.6711
interactive_valid_flow,tr_4c2e1999974d422c,issue_downstream_delegation,accepted,incoming_cod_validation,0.1515
