session,test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
01,chain_depth_sensitivity,2,21,True,0.795583,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,22,True,0.771709,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,23,True,0.77325,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,24,True,0.821125,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,25,True,0.795208,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,26,True,0.810875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,27,True,0.771417,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,28,True,0.775292,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,29,True,0.778625,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,30,True,0.781791,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,31,True,0.753958,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,32,True,0.765959,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,33,True,0.772208,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,34,True,0.750125,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,35,True,0.761625,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,36,True,0.736,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,37,True,0.784125,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,38,True,0.785041,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,39,True,0.755458,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,40,True,0.7575,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,41,True,0.790875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,42,True,0.787833,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,43,True,0.7775,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,44,True,0.756,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,45,True,0.750792,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,46,True,0.811584,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,47,True,0.777208,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,48,True,0.727333,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,49,True,0.788292,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,50,True,0.776959,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,51,True,0.754458,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,52,True,0.759917,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,53,True,0.770708,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,54,True,0.788875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,55,True,0.790958,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,56,True,0.757292,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,57,True,0.753667,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,58,True,0.773917,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,59,True,0.763833,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,60,True,0.771625,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,61,True,0.799042,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,62,True,0.786334,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,63,True,0.75725,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,64,True,0.785084,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,65,True,0.7615,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,66,True,0.7825,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,67,True,0.740959,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,68,True,0.759042,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,69,True,0.775917,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,70,True,0.95275,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,71,True,0.780333,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,72,True,0.735458,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,73,True,0.764708,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,74,True,0.723041,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,75,True,0.803,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,76,True,0.792167,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,77,True,0.773958,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,78,True,0.798875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,79,True,0.79975,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,80,True,0.773959,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,81,True,0.774125,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,82,True,0.757208,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,83,True,0.771209,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,84,True,0.737,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,85,True,0.757083,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,86,True,0.787875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,87,True,0.752375,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,88,True,0.79925,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,89,True,0.77125,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,90,True,0.81975,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,91,True,0.80475,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,92,True,0.829833,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,93,True,0.812334,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,94,True,0.801875,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,95,True,0.791792,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,96,True,0.790625,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,97,True,0.819708,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,98,True,0.830625,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,99,True,0.7805,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,100,True,0.746458,valid chain of delegation,2,1678
01,chain_depth_sensitivity,3,1,True,0.848708,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,2,True,0.892541,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,3,True,0.868916,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,4,True,0.84575,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,5,True,0.883625,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,6,True,0.835958,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,7,True,0.864541,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,8,True,0.861833,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,9,True,0.840958,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,10,True,0.899541,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,11,True,0.839542,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,12,True,0.835333,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,13,True,0.838709,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,14,True,0.844833,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,15,True,0.822542,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,16,True,0.813959,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,17,True,0.838375,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,18,True,0.87725,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,19,True,0.850125,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,20,True,0.88225,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,21,True,0.877417,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,22,True,0.88875,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,23,True,0.902833,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,24,True,0.876959,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,25,True,0.855209,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,26,True,0.903167,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,27,True,0.8455,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,28,True,0.847959,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,29,True,0.870917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,30,True,0.825375,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,31,True,0.866792,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,32,True,0.86425,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,33,True,0.886542,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,34,True,0.869375,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,35,True,0.828125,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,36,True,0.859917,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,37,True,0.907708,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,38,True,0.885791,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,39,True,0.837959,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,40,True,0.850042,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,41,True,0.83725,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,42,True,0.804667,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,43,True,0.860709,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,44,True,0.864792,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,45,True,0.889583,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,46,True,0.835625,valid chain of delegation,3,2530
01,chain_depth_sensitivity,3,47,True,0.839708,valid chain of delegation,3,2530
